A.M.; n.午前; 上午
AID, n.艾滋病
a, ad.&conj.像……一样; 如同; 因为
as, n.灰; 灰末
ashame, a.惭愧; 害臊
asid, ad.在旁边
as, v.问; 请求; 要求; 邀请
aslee, a.睡着的; 熟睡
aspec, n.方面; 外观; 外表
asses, v.评价;评定
assessmen, n.看法; 评价
assis, v.帮助; 协助
assistanc, n.帮助; 援助; 支持
assistan, n.助手; 助理
associat, v.联想; 联系
associatio, n.协会; 社团; 联系
assum, v.假定; 假设
assumptio, n.假定; 假设
astonis, vt.使惊讶
astronau, n.宇航员
astronome, n.天文学家
astronom, n.天文学
a, prep.在;在
at, v.吃
athlet, n.运动员
athleti, a.健壮的;体育运动的
athletic, n.田径
atmospher, n.大气; 气氛
ato, n.原子; 微粒
attac, v.把…固定; 重视
attac, vt.&n.攻击; 袭击
attai, v.获得;得到
attemp, vt.试图; 尝试
atten, v.看护; 照料; 服侍; 出席; 参加
attentio, n.注意; 关心
attentivel, ad.注意地
attitud, n.态度; 看法
attrac, v.吸引; 引起
attractio, n.吸引; 爱慕
attractiv, a.迷人的; 有吸引力的
audienc, n.观众; 听众
aun, n.伯母; 舅母; 婶; 姑; 姨
authenti, a.真正的; 真品的
autho, n.作者; 作家
authorit, n.权力;权威;威信;官方
automati, a.自动的; 机械的
autonomou, a.自治的; 自主的
autum, n.秋天; 秋季
availabl, a.可获得的; 有空的
avenu, n.大道
averag, a.平均; 普通的
avoi, v.避免; 躲开; 逃避
awak, v.唤醒
awar, n.奖品; 奖励
awar, a.知道; 意识到; 发觉
awa, ad.离开; 远离
awesom, a.令人惊叹;很困难的
awfu, a.很坏的; 极讨厌的
awkwar, a.令人尴尬;使人难堪的
bab, n.婴儿
bachelo, n.未婚男子; 单身汉
bac, ad.回; 向后
backach, n.背痛
backgroun, n.背景
backwar, ad.向后
baco, n.咸猪肉; 熏猪肉 
bacteriu, n.细菌
ba, a.坏的; 有害的; 不利的; 严重的
badl, ad.坏; 恶劣地
badminto, n.羽毛球
ba, n.书包; 提包; 袋子
baggag, n.行李
bak, v.烤; 烘
baker, n.面包店
balanc, n.平衡
balcon, n.阳台; 楼座
bal, n.球
balle, n.芭蕾舞
balloo, n.气球
ballpoin, 圆珠笔
bambo, n.竹
ba, n.禁令
banan, n.香蕉
ban, n.乐队
bandag, n.绷带
ban, int.砰
ban, n.岸; 堤
bankaccoun, n.银行账户
ba, n.条块; 棒; 横木
barbecu, n.烤肉野餐
barbe, n.理发师
barbersho, n.理发店
bar, a.裸露的; 光秃秃的
bargai, n.成交的商品; 廉价货
bar, v.狗叫
barrie, n.屏障; 障碍; 关卡
bas, n.根据地; 基地垒
basebal, n.棒球
basemen, n.地下室
basi, a.基本的
basi, n.水盆; 脸盆
basi, n.原因; 缘由; 要素
baske, n.篮子
basketbal, n.篮球
ba, n.球棒
bat, n.洗澡; 浴室; 澡盆
bath, vi.洗澡; 游泳
bathrob, n.浴衣
bathroo, n.浴室; 盥洗室
bathtu, n.澡盆
batter, n.电池
battl, n.战斗; 战役
battlegroun, n.战场
ba, n.湾; 海湾
b, v.是;其人称和时态形式有; 成为
beac, n.海滨; 海滩
bea, n.平衡木
bea, n.豆; 豆科植物
beancur, n.豆腐
bea, v.承受; 负担; 承担; 忍受; 容忍
bear, n.胡须
beas, n.野兽; 牲畜
bea, v.敲打; 跳动; 打赢
beate, v.敲打; 跳动; 打赢
beautifu, a.美; 美丽; 美观的
beaut, n.美丽; 美人
becaus, conj.因为
becom, v.变得; 成为
be, n.床
bedclothe, n.铺盖
bedding, n.卧具; 铺盖
bedroo, n.寝室; 卧室
be, n..蜜蜂
bee, n.牛肉
beehiv, n.蜂箱
bee, n.啤酒
befor, prep.在…以前; 在…前面
be, v.请求; 乞求; 乞讨 
bega, v.开始;着手
begi, v.开始;着手
beginnin, n.开始; 开端
begu, v.开始;着手
behal, n.代表某人; 为了某人
behav, v.守规矩; 行为
behaviou, n.行为; 举止
behin, prep.在…后面
bein, n.物; 生物; 人
belie, n.信条; 信念
believ, v.相信; 认为
bel, n.钟;铃;钟声;钟形物
bell, n.肚子
belon, vi.属; 附属
belo, prep.在……下面
bel, n.带
benc, n.长凳; 工作台
ben, vt.使弯曲
beneat, prep.在…下方
beneficia, a.有利的; 有帮助的; 有用的
benefi, n.&v.优势;益处;使…受益
ben, a.弯的
besid, prep.在…旁边; 靠近
beside, prep.除…以外
bes, a.&ad.最好的; 最好地; 最n.最好的
best--selle, n.畅销书
betra, v.出卖;泄露;辜负
bette, a.&ad.较好的; 更好的; 好些; 更好地; 更; 更多
betwee, prep.在之间; 在…中间
beyon, prep.在…的那边
bicycl, n.自行车
bi, v.&n.出价; 投标; 向道别
bi, a.大的
bik, n.自行车
bil, n.账单; 法案; 议案; 钞票; 纸币
billio, num.十亿; 百亿
bing, n.宾戈游戏
biochemistr, n.生物化学
biograph, n.传记
biolog, n.生物
bir, n.鸟
birdcag, n.鸟笼
birt, n.出生; 诞生
birthda, n.生日
birthplac, n.出生地; 故乡
biscui, n.饼干
bisho, n.主教
bi, v.咬; 叮
bit, v.咬; 叮
bitte, v.咬; 叮
bitte, a.有苦味的; 痛苦的; 难过的; 严酷的
blac, n.黑色
blackboar, n.黑板
blam, n.&v.责备; 责怪
blan, n.&a.空格; 空白; 空的; 茫然无表情的
blanke, n.毛毯; 毯子
blee, vi.出血; 流血
bles, vt.保佑; 降福
ble, v.吹; 刮风; 吹气
blin, a.瞎的
bloc, n.大块; 块; 街区; 路障
bloo, n.血; 血液
blous, n.宽罩衫; 短上衣
blo, v.吹; 刮风; 吹气
blow, v.吹; 刮风; 吹气
blu, n.蓝色
boar, n.木板; 布告牌; 委员会; 部
boa, n.小船; 小舟
boat--rac, n.划船比赛
boatin, n.划船; 泛舟
bod, n.身体
body--buildin, n.健美
boi, v.沸腾; 烧开; 煮……
bom, n.炸弹
bon, n.&v.纽带; 联系; 使牢固
bon, n.骨头; 骨质(复数bones骨骼; 骨骸)
bonu, n.津贴; 奖金; 红利
boo, n.书; 本子
bookcas, n.书橱
bookmar, n.书签
bookshel, n.书架
booksho, n.书店
bookstor, n.书店
boo, n.&v.繁荣; 轰鸣; 激增
boo, n.长统靴; 靴
boot, n.岗; 亭或小隔间
borde, n.边缘; 边境; 国界
bore, a.厌倦的; 烦闷的
borin, a.乏味的; 无聊的
bor, a.出生
borro, v.借用; 借
bos, n.领班; 老板
botanica, a.植物学的
botan, n.植物; 植物学
bot, a.两; 双
bottl, n.瓶子
botto, n.底部; 底
bounc, v.弹起; 蹦; 上下晃动
boun, a.被束缚的; 被绑的; 有义务的
boundar, n.边界; 界限
bo, v.&n.鞠躬; 弯腰行礼
bow, n.碗
bowlin, n.保龄球
bo, n.盒子; 箱子
boxin, n.拳击
bo, n.男孩
boycot, v.拒绝购买; 抵制
brai, n.脑
brak, n.闸
branc, n.树枝; 分枝; 分公司; 分店; 支部
bran, n.品牌
brav, a.勇敢的
braver, n.勇气
brea, n.面包
brea, n.间隙
breakfas, n.早餐
breakthroug, n.重大进展; 突破
breas, n.乳房; 胸脯
breat, n.气息; 呼吸
breath, vi.呼吸
breathles, a.气喘吁吁的; 上气不接下气的
brewer, n.啤酒厂
bric, n.砖; 砖块
brid, n.新娘
bridegroo, n.新郎
bridg, n.桥
brie, a.简洁的
brigh, a.明亮的; 聪明的
brillian, a.巧妙的; 使人印象深刻的; 技艺高的
brin, vt.拿来; 带来; 取来
broa, a.宽的; 宽大的
broadcas, n.广播节目
brochur, n.资料手册
broke, a.弄坏了的
broo, n.扫帚
brothe, n.兄; 弟
brotherhoo, n.兄弟般的关系
brow, n.褐色; 棕色
brunc, n.早午饭
brus, v.刷; 擦
bucke, n.铲斗; 桶
budge, n.预算
buffe, n.自助餐
buil, v.建筑; 造
buildin, n.建筑物; 房屋; 大楼
bu, n.馒头; 小甜面包
bunc, n.串;束;扎;大量;大批
bungalo, n.平房
burde, n.重担; 负担
bureaucrati, a.官僚的
burgla, n.入室窃贼
buria, n.埋葬
bur, v.燃; 烧; 着火; 使烧焦; 使晒黑
burs, v.突然发生; 突然发作
bur, vt.埋; 葬
bu, n.公共汽车
bus, n.灌木丛; 矮树丛
busines, n.工作; 职业; 职责; 生意; 交易; 事业
businessma, n.商人; 男企业家
businesswoma, n.商人; 女企业家
bussto, n。公共汽车站
bus, a.忙的
bu, conj.但是; 可是
butche, n.vt.肉店; 屠夫屠宰; 残杀
butte, n.黄油; 奶油
butterfl, n.蝴蝶
butto, n.纽扣; 按钮
bu, vt.买
b, prep.靠近; 在…旁; 在…时间; 不迟于; 被; 用; 由; 乘
by, int.再见
ca, n.出租车
cabbag, n.卷心菜; 洋白菜
cafeteri, n.自助餐厅
café; n.咖啡馆; 餐馆
cag, n笼; 鸟笼
cak, n.蛋糕; 糕点; 饼
calculat, v.计算; 核算; 推测
cal, n.喊; 叫; 电话; 通话
cal, a.镇静;沉着的
came, n.骆驼
camer, n.照相机; 摄像机
cam, n.营
campaig, n.运动; 战役
ca, v.可能; 能够; 可以不能
cana, n.运河; 水道
canc, rn.癌
cance, vt.取消
candidat, n.候选人; 申请人
candl, n.蜡烛
cand, n.糖果
cantee, n.餐厅; 食堂
ca, n.帽子; 盖; 笔套
capita, n.首都
capsul, n.胶囊
captai, n.上校; 船长; 舰长; 队长
captio, n.说明文字
ca, n.汽车; 小卧车
carbo, n.碳
car, n.卡片; 名片; 纸牌
cardgame, 纸牌游戏
car, n.照料; 保护; 小心
carefu, a.小心; 仔细; 谨慎的
careles, a.粗心的; 漫不经心的
carpente, n.木工; 木匠
carpe, n.地毯
carriag, n.四轮马车;客车厢
carrie, n.搬运者; 媒介;置物架; 货架
carro, n.胡萝卜
carr, vt.拿; 搬; 带; 提; 抬; 背; 抱; 运等
cartoo, n.动画片; 卡通; 漫画
carv, vt.刻; 雕刻
cas, n.情况; 病例; 案件; 真相
cas, n.现金; 现钞
cassettl, n.磁带
cas, v.扔; 抛; 撒
castl, n.城堡
casua, a.漫不经心的; 不经意的; 非正式的
ca, n.猫 
catalogu, n.目录
catastroph, n.灾难; 灾祸; 不幸事件
catc, v.接住; 捉住; 赶上; 染上
categor, n.类别; 种类
cate, v.提供饮食; 承办酒席
cathedra, n.大教堂
catholi, a.天主教的
cattl, n.牛; 家畜
caugh, v.接住; 捉住; 赶上; 染上
caus, n.原因; 起因
cautio, n.谨慎; 小心; 警告
cautiou, a.小心的; 谨慎的
cav, n.洞; 穴; 地窖
ceilin, n.天花板; 顶棚
celebrat, v.庆祝
celebratio, n.庆祝; 庆祝会
cel, n.单人牢房; 单人小室; 小蜂窝; 蜂房; ［生物］细胞
cella, n.地窖; 地下储藏室
cen, n.美分
centigrad, a.摄氏的
centimetr, n.公分; 厘米
centra, a.中心; 中央; 主要的
centur, n.世纪; 百年
ceremon, n.典礼; 仪式; 礼节
certai, a.某…; 确定的; 无疑的; 一定会…
certainl, ad.当然; 一定; 无疑
certificat, n.证明; 证明书
chai, n.链; 链条
chainstor, 连锁店
chai, n.椅子
chairma, n.主席; 会长; 议长
chairwoma, n.女主席;女会长; 女议长
chal, n.粉笔
challeng, n.挑战
challengin, a.具有挑战性的
champio, n.冠军; 优胜者
chanc, n.机会; 可能性
chang, n.零钱; 找头
changeabl, a.易变的; 变化无常的
channe, n.频道; 通道; 水渠
chan, v.&n.反复呼喊
chao, n.混乱; 杂乱; 紊乱
chapte, n.章
characte, n.字
characteristi, a.典型的; 独特的
charg, v.要求收费; 索价; 将充电
char, n.图表; 航海图
cha,  n.&vi.聊天; 闲谈
chea, a.便宜的; 贱
chea, n.&v.骗取; 哄骗; 作弊
chec, n.检查; 批改
chee, n.面颊; 脸蛋
chee, n.&vi.欢呼; 喝彩
cheerfu, a.兴高采烈的; 快活的
cheer, int.干杯; 谢谢; 再见
chees, n.奶酪
che, n.厨师长; 主厨
chemica, a.化学的
chemis, n.药剂师; 化学家
chemistr, n.化学
chequ, n.支票
ches, n.棋
ches, n.箱子; 盒子; 胸部
che, vt.咀嚼
chic, n.小鸡
chicke, n.鸡; 鸡肉
chie, a.主要;首要的
chil, n.孩子; 儿童
childhoo, n.幼年时代; 童年
chimne, n.烟囱; 烟筒
chip, n.炸土豆条
chocolat, n.巧克力
choic, n.选择; 抉择
choi, n.合唱团; 教堂的唱诗班
chok, n.&v.窒息
choos, vt.选择
chopstick, n.筷子
choru, n.合唱曲; 歌咏队
chos, vt.选择
chose, vt.选择
churc, n.教堂; 教会
ciga, n.雪茄烟
cigarett, n.纸烟; 香烟
cinem, n.电影院; 电影
circl, n.&vt.圆圈将…圈起来
circui, n.环形路线; 巡回赛
circulat, v.环流; 循环
circumstanc, n.条件;环境;状况
circu, n.马戏团
citize, n.公民; 居民
cit, n.市; 城市; 都市
civi, a.国内的; 平民的; 民用的
civilia, n.平民; 老百姓
civilizatio, n.文明
cla, vi.拍手; 鼓掌
clarif, v.澄清; 阐明
clas, n.班; 年级; 课
classi, a.一流的; 典型的; 有代表性的
classica, a.传统的; 古典的
classif, v.分类; 归类
classmat, n.同班同学
classroo, n.教室
cla, n.爪
cla, n.黏土; 陶土
clea, vt.弄干净; 擦干净
cleane, n.清洁工
clea, a.清晰; 明亮的; 清楚的
clearl, ad.清楚地; 无疑地
cler, n.书记员; 办事员; 职员
cleve, a.聪明的; 伶俐的
clic, v.点击
climat, n.气候
clim, v.爬; 攀登
clini, n.诊所
cloc, n.钟
clon, n.克隆
clos, a.亲密的; 近; 靠近
clot, n.布
clothe, n.衣服; 各种衣物
clothin, n.衣服
clou, n.云; 云状物; 阴影
cloud, a.多云的; 阴天的
clu, n.俱乐部; 纸牌中的梅花
clums, a.笨拙的; 不灵巧的
co-worke, n.合作者; 同事
coac, n.教练; 马车; 长途车
coa, n.煤; 煤块
coas, n.海岸; 海滨
coa, n.外套; 涂层; 表皮; 皮毛
coc, n.公鸡
coco, n.可可粉
coffe, n.咖啡
coi, n.硬币
coincidenc, n.巧合; 巧事
cok, n.可口可乐
col, a.冷的; 寒的
cold--bloode, a.冷血的
colla, n.衣领; 硬领
colleagu, n.同事
collec, vt.收集; 搜集
collectio, n.收藏品; 收集物
colleg, n.学院; 专科学校
collisio, n.碰撞事故
colou, n.颜色
com, n.梳子
combin, vt.使联合; 使结合
com, vi.来; 来到
comed, n.喜剧
comformode, a.舒服的; 安逸的; 舒服自在的
comfor, n.安慰; 慰问
comm, n.逗号
comman, n.&v.命令
commen, n.评论
commi, v.犯; 自杀
commitmen, n.承诺;允诺;承担
committe, n.委员会
commo, a.普通; 一般; 共有的
communicat, v.交际; 传达
communicatio, n.交际;交往;通讯
communis, n.共产主义
communis, n.共产主义者
companio, n.同伴; 同事
compan, n.公司
compar, vt.比较; 对照
compas, n.罗盘; 指南针
compensat, v.补偿; 弥补
compet, vi.比赛; 竞赛
competenc, n.能力;胜任;管辖权
competitio, n.比赛; 竞赛
competito, n.竞赛者; 比赛者
complet, a.完成
comple, a.&n.复杂的; 建筑群
componen, n.组成部分; 部件
compositio, n.作文; 作曲
comprehensio, n.理解
compromis, v.妥协;折中;让步
compulsor, a.强制的;必须做的
compute, n.电子计算机
computergam, 电子游戏
comrad, n.同志
concentrat, v.聚精会神
concep, n.概念
concer, v.&n.涉及; 关心
concer, n.音乐会; 演奏会
conclud, v.完成; 结束
conclusio, n.结论; 结束
concret, a.混凝土制的
condem, v.谴责; 指责; 宣判
conditio, n.条件; 状况
conduc, vt.引导; 带领
conducto, n.管理人; 指导者; 售票员; 列车员; 乐队指挥
conferenc, n.会议; 讨论
confiden, a.自信的
confidentia, a.机密的; 保密的
confir, v.证实; 证明; 确认
conflic, n.冲突; 争执; 争论
confus, v.使迷惑; 混淆
congratulat, vt.祝贺
congratulatio, n.祝贺; 庆贺
connec, v.连接; 把…联系起来
connectio, n.连接物;接触;联系
conscienc, n.良心; 良知; 内疚
consensu, n.一致的意见; 共识
consequenc, n.结果; 后果
conservatio, n保存; 保护; 管理
conservativ, a.保守的; 守旧的; 保守主义的; 谨慎的
conside, vt.考虑
considerat, a.体贴的
consideratio, n.考虑; 关心
consis, v.包含; 组成; 构成
consisten, a.一致的; 始终如一的; 连续的
constan, a.经常的; 不断的
constitutio, n.宪法; 章程; 身体素质
construc, v.构筑; 建造; 建设
constructio, n.建造;建设;建筑物
consul, v.咨询; 商量
consultan, n.顾问
consum, v.消耗; 耗费
contai, v.包含; 包括; 能容纳
containe, n.容器
contemporar, a.属同时期的; 同一时代的
conten, a.甘愿的;满意的
continen, n.大陆; 大洲; 陆地
continu, vi.继续
contradic, v.反驳; 驳斥; 批驳
contradictor, a.相互矛盾;对立的
contrar, n.&a.相反相反的
contribut, v.贡献
contributio, n.贡献
contro, vt.&n.控制
controversia, a.引起争论的;有争议的
convenienc, n.便利
convenien, a.便利的; 方便的
conventiona, a.依照惯例的; 习惯的
conversatio, n.谈话; 交谈
conve, v.表达; 传递
convinc, v.使确信; 使信服
coo, n.炊事员;厨师
cooke, n.炊具
cooki, n.小甜饼
coo, a.凉的; 凉爽的; 酷
cop, n.抄本; 副本; 一本
cora, n.珊瑚; 珊瑚虫
cordles, a.无线的
cor, n.玉米; 谷物
corne, n.角; 角落; 拐角
corporatio, n.公司
