Afric, n.非洲
bil, n.帐单;清单;纸币
billio, n. 十亿
biolog, n. 生物(学)
bir, n. 鸟
birthda, n.生日
bi, n.一点儿;小片
blac, adj. 黑色的
blackboar, n. 黑板
blea, v&n.羊叫(声)
blin, adj. 瞎的;盲的
blous, n. 女衬衫
blo, v.吹
blu, adj & n. 蓝色(的)
boa, v.划船
boatin, n.划船
bod, n.身体
boo, v.预定（戏票、车票等）
bookmar, n.书签
booksho, n.书店
boo, n. 长统鞋
borin, adj.令人厌烦的
borro, v.借
bot, adj. & pron.两个(人....)都
both…and…; phr....和...都
bottl, n. 瓶
bow, n.碗
bo, n. 盒子;箱子
bo, n. 男孩
brea, n.面包
brea, v.折断;断裂;破碎
breakfas, n. 早餐
breath, v.呼吸
bridg, n. 桥牌
brigh, adj. 明亮的;晴朗的
brightl, adv. 明亮地;闪亮地
brin, v.带来;拿来
brochur, n.小册子
brok, v.折断;打破
broke, adj.弄坏了的
broo, n. 扫帚
brothe, n. 兄;弟
brow, adj & n. 棕色(的);褐色(的)
brus, n.刷子，毛笔，画笔
buil, v.建立，建造，建设
buildin, n.建筑物
bu, n. 公共汽车
busines, n.商业；生意；事务
businessma, n.商人
bus, adj.忙的;繁忙的
bu, prep.除了
butte, n.黄油
butto, n.按钮，纽扣
bu, v.买
b, prep.乘车(船等)
by the tim, phr.到…的时候
by, int. 再见
cabbag, n.卷心菜;洋白菜
caf, n.小餐馆;咖啡厅
cag, n.笼(子);鸟笼
cak, n. 蛋糕;饼;糕
cal, v&n.称呼;叫喊;打电话给 电话;通话
camer, n.照相机
ca, v.aux. 能;可以;会
can', v.aux. can not 的缩写形式
cance, n.癌症
candl, n.蜡烛
cano, v.乘独木舟
ca, n. 便帽;军帽
capita, n.首都
captai, n.（足球队等）队长
ca, n. 汽车;小汽车
car, n.纸牌;卡片
car, n.小心;照料;保护
carefu, adj. 小心的;仔细的
carefull, adv. 小心地;仔细地
careles, adj.粗心的;大意的
carro, n.胡萝卜
carr, v. 携带;搬运;运送
carry o, phr.坚持下去，继续下去
ca, n. 猫
catc, v.捉;抓住
caus, v. 引起
celebrat, v.庆祝
cen, n.(货币)分
centr, n.中心
centur, n.世纪;百年
certainl, adv. 当然
chai, n. 椅子
challeng, n.挑战
chanc, n.机会
chang, v.变化;变更;改变
channe, n.海峡；航道；频道；波段
char, n.图表
chea, adj.便宜的
chec, v. 检查;核对
check-ou, n.（购货时的）结帐台，收银台
chees, n.乳酪
chemistr, n. 化学
ches, n.国际象棋
chicke, n.鸡;鸡肉
chil, n. 小孩
childre, n. child的复数形式
chimne, n.烟囱，烟筒
chip, n.(口语)炸士豆儿条
chocolat, n.巧克力;巧克力糖
choos, v. 选择;挑选
chopstick, n.(常用复数)筷子
churc, n.教堂;教会
cinem, n.电影院;电影
circl, v.环绕，绕行&n.圆，圈子
cit, n.城市
clas, n. 同一个班的学生
classmat, n. 同班同学
classroo, n. 教室
clea, adj.干净的;清洁的
clean u, phr.清除，收拾干净
cleane, n.清洁工
clea, adj.清晰的;清楚的;明亮的
clearl, adv.清楚地
cleve, adj.聪明的;机灵的
clic, n & v 咔哒声;发出咔哒声
clim, v.爬;攀登
cloc, n. 钟
clos, v.关;闭
close, adj.关着的
clothe, n. 衣服
clou, n.云
cloud, adj.多云的;阴天的
clu, n.俱乐部，社团
coa, n. 外套;上衣
cod, n.密码;符号
coffe, n.咖啡
coi, n.硬币
cok, n.(口语)可口可乐
collec, v.收集；搜集
colleg, n.学院;高等专科学校
colou, n.颜色；v. 给...着色
colourfu, adj.颜色艳丽的
com, v. 来
come dow, phr.下来，落
come i, phr. 进来;进入
come o, phr. 来吧;跟着来;赶快
come ou, phr.(花)开;发(芽);出来
come to onesel, phr.苏醒;恢复知觉
come tru, phr.实现
come up wit, phr.找到；提出（答案，办法）
comfortabl, adj.舒适的；舒服的
compan, n.公司
competitio, n.比赛；竞争
complai, v.抱怨;发牢骚
compositio, n.作文;作品
compute, n. 电脑;电子计算机
conducto, n. (汽车;电车上的)售票员;列车员
confidenc, n.信心，自信
confiden, adj.有自信的，确信的
congratulatio, n. (常用复数)祝贺;庆贺
connec, v.连接，相连，联系
contributio, n.贡献
conversatio, n.会话，谈话
coo, v&n.烹调;煮;烧;炊事员;厨师
cooki, n. 小甜饼
coo, adj.（俚语）了不起
cop, v.抄写
cora, n.珊瑚
cor, n.(美)玉米;谷类庄稼
corne, n.角落;(街道)拐角
correc, adj.改正
cos, v.价钱为，花费（金钱、时间等）
cotto, n.棉花
coug, v.&n.咳嗽
coul, v.aux. (口语;表示许可或请求)可以;行
coun, v. 数;点数
countr, n.乡村;郊外
countrysid, n.乡下，农村
cousi, n.堂(表)兄弟;堂(表)姐妹
cove, v.覆盖
co, n.母牛;乳牛
cras, v.坠落，冲撞
crea, n.奶油;乳脂
credi, n.信用
credit car, n.信用卡
cro, n.庄稼;收成
cros, v.越过；穿过
crossin, n.十字路口;交叉点
cro, v.拥挤
cr, v.哭;叫喊
cu, n. 杯子
cupboar, n.碗橱;小橱(柜)
cu, v.割;砍;切
cut dow, phr.砍倒
da, n. (口语)爸爸;爹爹
danc, v. 跳舞
dange, n.危险
dangerou, adj.危险的
dar, adj. 深(浓)色的;黑暗的
dat, n.日期
daughte, n. 女儿
da, n.日;一天
daytim, n.白天
dea, adj.死的
dea, adj. 聋的
dea, n.（口语）协议，交易
dea, adj.亲爱的;可爱的
deat, n.死;死亡
decid, v. 决定;决心
decisio, n.决定
decorat, v.装饰，修饰
dee, adj.深的
dee, n.(pl.deer)鹿
deliciou, adj.美味的;可口的
describ, v.描写；叙述
descriptio, n.描述，描写
deser, n.沙漠
deserv, v.应得，值得…
des, n. 书桌
detectiv, n.侦探
develo, v. 发展;研制;开发
diagra, n.图表
dictionar, n.字典;词典
di, v.死亡
differenc, n.不同;差异
differen, adj.不同的
difficul, adj.困难的;难的
di, v.挖，掘
digita, adj.数字似的
di, adj. 微暗的;昏暗的
dinne, n.正餐;晚餐
dinosau, n.恐龙
directl, adv.直接地
dirt, adj.脏的
disappea, v.消失
disappearanc, n.消失
discove, v.发现，发觉
discus, v.讨论;议论
discussio, n.讨论
diseas, n. 疾病
dis, n.一道菜;盘;碟
displa, n.陈列
distur, v.妨碍;打扰
div, v.潜入(水中);跳水
dive, n.潜入水中的人;潜水员
d, v. 做;干;行动
docto, n. 医生
documen, n.公文，文件
do, n. 狗
dol, n. 玩具娃娃
dolla, n.元(美;加拿大等国的货币单位)
dolphi, n.海豚
don', do not 的缩写形式
doo, n. 门
doorbel, n.门铃
doubl, adj & v 双重的，双倍的
dow, adv. 向下
downloa, v.下载
downstair, adj & adv. (在)楼下;(往)楼下
dra, v. 画;绘制
drea, n.&v.梦;梦想; 做梦;向往
dres, n. 女服;(统称)衣服
drin, n.&v.饮料;喝
drive, n.司机;驾驶员
dro, n.滴，水滴
drop of, phr.放下（某物），下车
drough, n.旱灾，干旱
dr, v.把…弄干，晒干
duc, n.鸭
dumplin, n.饺子
durin, prep.在...的期间
dustbi, n.垃圾箱
dut, n. 职责;责任
e-mai, n. 电子邮件
eac, pron.各自;各个
ea, n. 耳朵
earlie, adj&adv.(early的比较级)更早的(地)
earl, adj&adv.早的(地)初期
eart, n.陆地，大地，地球
earthquak, n.地震
eas, n&adj.东方(的);东部(的)
eas, adj.容易的
ea, v.吃
eat u, phr.吃完;吃光
edg, n.边，边缘
educatio, n.教育，培养
eg, n. 蛋
eigh, num. 八
eighteent, num. 第十八
eight, num.第八
eithe, adv.(用于否定句中)也(不)
either...or...; conj.或者...或者...
electroni, adj.电子的
elephan, n.象
eleve, num. 十一
els, adv & adj. 别(的);其他(的)
empt, adj. 空的
encourag, v.鼓励
en, n.&v.末端;终点;结束
enginee, n.工程师
enjoy onesel, phr.过得快乐;玩得痛快
enjoyabl, adj.愉快的；有趣的
enoug, adj.足够的;充分的
ente, v.进入
entranc, n.入口，进口，入场
environmen, n.环境
erase, n. 橡皮擦
escap, n.逃亡，逃走，逃避
especiall, adv.特别；尤其
essentia, adj.本质的，主要的，必需的
ev, n.（节日或重大事件发生的）前夕
eve, adv.甚至;更
even thoug, conj.即使…
evenin, n.傍晚;晚上
even, n.大事；事件
eve, adv. 曾经
ever sinc, phr.从那时起；此后一直
ever, adj.每一的;每个的
everybod, pron.每人;人人
everyon, pron. 每人;人人
exactl, adv.准确地，严格地
exa, n. (口语)考试
exampl, n.例子;榜样
excellen, adj.极好的，优秀的
excep, prep.除…之外
excite, adj.兴奋的，激动的
excitin, adj.令人兴奋的
excus, n.借口，托词
exercis, n.锻炼;做操;练习
exi, n.出口
expec, v.期望，预期
expensiv, adj.昂贵的
experienc, n.经验，体验
exper, n.专家，内行
explor, v.探测，探险
explore, n.探测者，探险者
ey, n. 眼睛
fac, n. 脸;面孔
fac, n.事实;实际
factor, n.工厂
fai, v.失败；不及格
fal, v.落下;跌倒
fall aslee, phr.睡觉;入睡
fall dow, phr.倒下;跌倒;从...落下
fall of, phr.(从...)掉下
famil, n. 家;家庭
family tre, n. 家谱
fa, n.(口语，电影;运动等的)迷
fa, adj&adv.远的(地)
far awa, phr.很远，遥远
far, n.农场
farme, n.农民
farmin, n.农业;务农
farmlan, n.农田
farthe, adj.&adv.(far的比较级)较远;更远
farthes, adj.&adv.(far的最高级)最远
fas, adj&adv.快的(地);迅速的(地)
fa, adj.肥胖的
fathe, n. 父亲
favourit, adj. 特别喜爱的
fa, n. 传真
feathe, n.羽毛
fee, v.喂;饲养
fee, v.觉得;感到
festiva, n&adj.节日(的);喜庆(的)
fe, adj.少数的;不多的
fiel, n.地;田地
fiftee, num. 十五
fift, num&adj.第五(的)
fift, num. 五十
fil, v.装满，填充
fil, n.影片;电影
fina, adj.最后的
fin, v. 找到;发现
find ou, phr.找出;查出
fin, adj. (身体)好的
finge, n.手指
finis, v.完成;结束
fireplac, n.壁炉
firs, num & adv.第一;首先;最初
first of al, phr.首先;第一
fis, v.钓鱼
fishin, n.钓鱼
fi, adj. & v.健康的；适合的；（使）适合
fiv, num. 五
fi, v.修理;安装
fligh, n.航班，飞行
floo, n.洪水，水灾&v.淹没，泛滥
floo, n. (室内)地;地板
flowe, n. 花
fl, v.放(风筝;飞机模型等)
fo, n.雾
fogg, adj.有雾;多雾的
follo, v.跟随
foo, n.食物
foo, n. 脚(pl.feet)
footbal, n. 足球
fo, prep. 为;给
foreig, adj.外国的
foreigne, n.外国人
fores, n.森林
foreve, adv.永远，总是
forgo, v. (forget 的过去时)忘记
for, n.叉;餐叉
for, n.表格
fossi, n.化石
foun, v.成立，建立
fou, num. 四
fourtee, num. 十四
fo, n.狐狸
fragil, adj.易碎的
fre, adj.自由的;空闲的
freez, v.结冰，凝结
fridg, n.电冰箱
frien, n. 朋友
friendl, adj.友好的
friendshi, n.友谊;友情
frighte, v.惊恐，吓唬
frightene, adj.受惊的，害怕的
fro, prep.从;从....起
from now o, phr.从现在起，今后
fron, adj&n.前面(的);前部
frui, n.水果
frustrat, v.使沮丧，使失败
frustrate, adj.感到灰心丧气的
ful, adj. 满的
fu, n.有趣
funn, adj. 滑稽的;有趣的
futur, n. 将来;未来
gam, n. 游戏;运动
garde, n.花(果;菜)园
gat, n.大门
gatekeepe, n.看门人;门卫
generosit, n.慷慨，豁达
geograph, n.地理(学)
ge, v. 得到;获得
get bac, phr.回来;取回
get marrie, phr.结婚
get of, phr.下来;从...下来
get o, phr.上(车)
get u, phr. 起床
get-togethe, n.聚会
get…bac, phr.退还；送回去；取回
gir, n. 女孩
giv, v. 给
give birth t, phr.生（孩子）
give u, phr.放弃
gla, adj. 高兴的;乐意的
glas, n.玻璃杯
glov, n. 手套
g, n.尝试(做某事)
go bac, phr.回去
go hom, phr. 回家
go o, phr.继续
go ove, phr.过一遍，仔细检查
go wron, phr.走错路
goa, n.（足球）球门，得分
goe, v. go的单数第三人称现在时
gol, n. 高尔夫球
goo, adj. 好的
goodby, int. 再见;再会
goodnes, n.善良;美德
gra, v.抓取…，夺取
grad, n. 年级
graduat, v.毕业
gran, adj.豪华的，庄重的，雄伟的
grandfathe, n. (外)祖父
grandm, n. (口语)奶奶;外婆
grandmothe, n. (外)祖母
grandp, n. (口语)爷爷;外公
grap, n.葡萄
gras, n.草;草地
gratefu, adj.感激的，感谢的
grea, adj.伟大的;很大的;重要的
gree, adj & n. 绿色(的)
gree, v.问候，向（人）打招呼
gre, adj & n. 灰色(的);灰白(的)
groun, n. 地面;土地
grou, n.组，群，团队
gro, v.种植;生长
gues, v. 猜
guid, n.向导，导游者&v.指导，引导
hai, n. 头发
hal, n. 半;一半
half-wa, adv.在途中;半路上
hal, n.大厅，会堂，会馆
hamburge, n.汉堡包
han, n. 手
hand i, phr.交上来
hands u, phr.举手
han, v.吊着，悬挂
happe, v.(偶然)发生;碰巧
happil, adv.高兴地;快乐地
happ, adj.快乐的;幸福的
har, adj.硬的
hard-workin, adj.辛勤工作的;用功的
hardl, adv.几乎不
har, v.损害；伤害
harves, n.收获
ha, v. (动词have的单数第三人称)有
ha, n. 帽子(一般指有边的帽子)
hav, v. 有
have a col, phr.(患)感冒
have a coug, phr.(患)咳嗽
have a good tim, phr.过得愉快
have a headach, phr.(患)头痛
have a loo, phr. 看一看
have a sea, phr. 坐下;就坐
have a tr, phr.尝试；努力；射击
have suppe, phr. 吃晚餐
h, pron. 他
hea, n. 头;头部
headach, n.头痛
headmaste, n.（英)中小学校长
hea, v.使（伤、病）痊愈
healt, n.健康;卫生
healthil, adv.健康地
hea, v.听见;听说
hear o, phr.听说
hear, n.心(脏)
heavil, adv.大量地;猛烈地;厉害地
heav, adj. 重的
heigh, n.高度
hell, int. 喂(问候或唤起注意)
hel, v. 帮助
help yourself t, phr.自取;随便吃
helpfu, adj.有帮助的;有益的
he, pron. 她的
her, adv. 这里;这儿
here and ther, phr.到处;处处
her, pron. 她的
hersel, pron.她自己
he, int.嘿;喂(唤起注意.表示惊讶或询问)
h, int. 喂(问候或唤起注意)
hid, v. 躲藏
hig, adj.&adv.高的(地)
hik, n&v.远足;徒步旅行
hikin, n.徒步旅行
hil, n. 小山
hi, pron.他(宾格)
himsel, pron.他自己
hi, pron. 他的
histor, n.历史(学)
hi, v.打;击中;撞
hobb, n.业余爱好
hol, v.拿;握
hold o, phr. (打电话时)等一等;不挂断
hol, n.洞;孔;坑
holida, n.假日;假期
hom, n. 家
hometow, n.故乡;家乡
homewor, n.家庭作业
hop, v.希望
hors, n.马
hospita, n.医院
ho, adj.热的;辣的
hote, n.旅馆;饭馆
hou, n. 小时
hour after hou, phr.一小时又一小时，连续地
hous, n. 房子
housewor, n.家务劳动
ho, adv. (指程度)多少;怎样
how man, phr. 多少
howeve, conj.然而，可是
hu, n.拥抱，紧抱
hug, adj.巨大的
huma, n. & adj.人(的);人类(的)
human bein, n.人
hundre, num. 百
hungr, adj.饥饿的
hurr, v.赶快;慌忙
hur, v.使受伤;痛
husban, n. 丈夫
ic, n.冰
iceber, n.冰山
ico, n.图象符号，图标
ide, n.主意;想法;意见
i, conj.是否
il, adj.病的
imagin, v.设想;想像
importan, adj.重要的;重大的
impossibl, adj.不可能的
improv, v. 提高;改善
i, prep. 在...里(内;上)
in a hurr, phr.匆忙地
in fac, phr.实际上
in fron, phr.前方;正对面
in this wa, phr.用这种方法
in tim, phr.及时
increas, v.增加，增长
informatio, n.信息;情报
injectio, n.注射，打针
insid, prep.在...里面
inspecto, n.警官，监督员
instea, adv.代替;顶替
instead o, phr.代替
instructio, n.说明，须知
interes, n.兴趣
intereste, adj. 感兴趣的
interestin, adj.有趣的;有意思的
int, [&prep.到...里;向内
inventio, n.发明，创造
invento, n.发明者，创造者
invit, v.邀请;招待
i, v. 是
islan, n.岛;岛状物
isn', is not 的缩写形式
i, pron. 它
jacke, n.夹克衫
jee, n. 吉普车
jo, n.工作
joi, v.加入；参加
jok, n. 笑话;玩笑
journe, n.旅程；旅行；路程
juic, n. (水果;蔬菜;肉等的)汁;水汁
jum, v.跳
jumpe, n.跳跃者
jus, adv.仅仅;只有
just the, phr.正在那时
kee, v.饲养，照顾
ke, n.钥匙
keyboar, n. 键盘
ki, n.（口语）小伙子
kil, v.杀死;弄死
kil, n.千克;公斤
kilometr, n.公里;千米
kin, adj.和蔼的;友好的
kind-hearte, adj.好心的
kinds o, phr.各种各样的
kitche, n.厨房
kit, n. 风筝
kne, n.膝盖
knif, n.(pl.knives)小刀
knoc, v. 敲;击
kno, v. 知道;懂得
knowledg, n.知识；学问
la, n.实验室
ladies' roo, n.(妇女)公共厕所
lad, n.女士;夫人
lak, n.湖
lan, v.登陆;上岸;降落
languag, n.语言
la, n. (竞赛场的)一圈
larg, adj. 大的;(数量)多的
large numbers o, phr.许多
las, v.持续;耐久
lat, adj & adv. 迟的(地);晚的(地)
late, adv.以后;后来
later o, phr.后来;稍后
laug, v. (大)笑;发笑
laugh a, phr.嘲笑
la, v.下蛋;产蛋
laz, adj.懒惰的
lea, n.叶子，树木、草的叶子
lear, v.学;学习
leas, n.最少，最小
leathe, n.皮革
leav, v.离去;出发
lef, n&adj.左(的);左边(的)
le, n. 腿
len, v.把…借给，借给
les, adj. & adv.较少的;较小的
less tha, phr.不到;少于
lesso, n.课;功课
le, v. 让
let', phr. let us 的缩写形式
lette, n.信
libraria, n.图书管理员
librar, n.图书馆
licenc, n. 执照;许可证
li, v. 躺;平躺
lif, n.生命;生活
lifeboa, n.救生船(艇)
lifetim, n.一生，终生
lif, v.消散; (雨)停止
ligh, adj. 淡(浅)色的;轻的
lik, v. 喜欢
lin, n. 线;绳索
lio, n.狮子
lis, n.清单;一览表;名单;目录
liste, v. 听
listen t, phr. 听
litte, n & v 垃圾，废物；乱丢杂物
littl, adj & adv. 小的;一点儿;稍许
liv, v.居住
live o, phr.继续存在，继续活着
livel, adj.热闹的；有生气的
loc, n.锁&v.上锁
lonel, adj.孤独的，寂寞的
lon, adj. 长的
loo, n. 瞧;看
look afte, phr. 照顾;照看
look a, phr. 看;观看
look lik, phr. 看起来像
look ou, phr.留神;注意
look ove, phr.(仔细)检查
look the sam, phr. 看起来很像
los, v. 丢失;失去;迷失(方向)
los, adj.迷途的;丢失的
lo, n.许多
lots o, phr.许许多多的
lou, adj. 大声的;响亮的
loudl, adv. 大声地;高声地
loudspeake, n. 扬声器;扩音器
lov, v. 爱;喜爱
lo, adj.低的;浅的;矮的
luckil, adv. 好运地;幸运地
luck, adj. 幸运的;侥幸的
lunc, n. 午餐
machin, n.机器
mada, n.女士;夫人;小姐
magazin, n.杂志
magica, adj.魔法(似)的
mai, n.邮政;邮递
mai, adj.主要的
mainlan, n.大陆；本土
mak, v.使...(发生)
make a decisio, phr.作出决定
make a mistak, phr.犯错误
make a nois, phr.吵闹
make face, phr.做鬼脸;做苦脸
make one's way t, phr.往..走去
make room fo, phr.给..腾出地方
make sur, phr.确保;确认;查明
make up one's min, phr.下决心
ma, n. 男人;人
man-mad, adj.人造的，人工的
manage, n.经理;负责人
man, adj. 许多的;多的
ma, n. 地图
mar, n.记号；标记；痕迹
marke, n.市场;集市
marr, v.结婚
matc, n.比赛;竞赛
mat, n.(美式拼法)数学
math, n.(英式拼法)数学
matte, v.(否定句;疑问句)要紧;有关系
ma, v.aux可以;可能;也许
mayb, adv.也许;大概
m, pron. 我
mea, n.一餐;一顿饭
mea, v.表示...的意思;意味着
meanin, n.意思;意义;含义
mea, n.肉
medicin, n.内服药;医学
mee, v. 见面;会面;遇见
meetin, n.会;会议
melo, n.瓜
membe, n.成员
me, n. man的缩写形式
men, v.修补;修理
mentio, v.提到;说起
men, n.(餐厅等的)菜单
merr, adj.愉快的；欢乐的
messag, n.消息;信息
meta, n.金属
metr, n.公尺;米
microcompute, n. 微型计算机
middl, adj. 中间的;中级的
middle schoo, n. 中学
midfiel, n.中场
midfield playe, n.中场球员
midnigh, n. 午夜
mil, n.牛奶
millio, n. 百万;百万元
min, n.&v.思想，想法；关心，介意
min, pron. 我的
minibu, n.小型公共汽车
minu, prep. 减;减去
minut, n. 分钟;一会儿
mis, v.错过
missin, adj.丢失的;失踪的
mis, n.雾
mistak, n.错误
mist, adj.有雾的，雾大的
mobil, adj.可移动的
mobile phon, n.可移动电话
mode, n.模型;模范 ;样式
mode, n.调制解调器
momen, n.片刻;瞬间
mone, n. 钱;货币
monito, n.显示器
monke, n.猴子
mont, n.月
moo, n.月亮
mooncak, n.月饼
moonligh, n & adj. 月光(的)
mor, adv.更;更加
more and mor, phr.越来越…
more or les, phr.多少有点，或多或少
mornin, n. 早晨;上午
mos, adj&adv.(many或much的最高级)最多的
mostl, adv.主要地，大部分
mothe, n. 母亲
motorbik, n. 摩托车或有发动机的自行车
moun, n.…山；…峰
mountai, n.山;高山
mous, n. 鼠;耗子;鼠标
mout, n. 嘴
mouth-to-mout, adj. (人工呼吸)口对口的
movin, adj.活动的；移动的；动人的
muc, adv. 多;很;非常
multipl, v.（将…）乘…
multiply…by…; phr.…乘以…
